entity,site_name,site_id,lat,long
VIU Hydromet,Salloomt Rv.,08FB004,52.3996,-126.5381
VIU Hydromet,Atnarko Rv.,08FB006,52.369953,-126.073132
VIU Hydromet,Bella Coola Rv. Near Hammer Rd.,08FB011,52.432,-126.388
VIU Hydromet,Squamish Rv.,08GA022,49.79563333,-123.2013611
VIU Hydromet,Cheakamus Rv.,08GA043,49.79967778,-123.1574
VIU Hydromet,MacKay Creek,08GA061,49.35631667,-123.0999417
VIU Hydromet,Stawamus Rv.,08GA076,49.69197778,-123.142275
VIU Hydromet,Chemainus Rv.,08HA001,48.880006,-123.705091
VIU Hydromet,San Juan Rv.,08HA010,48.57986,-124.334774
VIU Hydromet,Cowichan Rv.,08HA011,48.773205,-123.714684
VIU Hydromet,Englishman Rv.,08HB002,49.315739,-124.285369
VIU Hydromet,Sarita Rv,08HB014,48.89916667,-124.9583333
VIU Hydromet,Nile Creek,08HB022,49.419923,-124.642692
VIU Hydromet,Browns Rv.,08HB025,49.693149,-125.080176
VIU Hydromet,Little Qualicum Rv.,08HB029,49.358569,-124.484223
VIU Hydromet,Millstone Rv.,08HB032,49.177575,-123.966905
VIU Hydromet,Nanaimo Rv.,08HB034,49.076391,-123.876396
VIU Hydromet,Quinsam Rv.,08HD005,50.026653,-125.296903
VIU Hydromet,Salmon Rv.,08HD006,50.320697,-125.922668
VIU Hydromet,Oyster Rv.,08HD011,49.895551,-125.229947
VIU Hydromet,Tsitika Rv.,08HF004,50.404028,-126.565188
VIU Hydromet,Carnation Creek B-Weir,B-Weir,48.91583333,-124.9975
VIU Hydromet,Carnation Creek C-trib,C-Trib,48.92055556,-124.9772222
VIU Hydromet,"Yakoun, near Port Clements",08OA002,53.620639,-132.208736
VIU Hydromet,Premier Crk,08OA003,53.255184,-132.076494
VIU Hydromet,Honna Rv near the mouth,08OA004,53.252719,-132.138094
"Oliver et al., 2016",Above Copco Reservoir,ACSC,41.967317,-122.221258
"Oliver et al., 2016",Above JC Boyle Reservoir,AJC,42.149956,-122.014361
EnvCan,Salmon River At Hyder,AK08DC0001,56.0217,-130.0714
"Oliver et al., 2016",Above Scott River,ASC,41.779047,-123.033436
"Oliver et al., 2016",Above Shasta River,ASH,41.831233,-122.593397
EnvCan,Iskut Below Johnson River,BC08CG0001,56.73889,-131.67306
EnvCan,Bear River at Stewart,BC08DC0001,55.9542,-129.9731
EnvCan,Bulkley River at Smithers,BC08EE0009,54.7892,-127.1552
EnvCan,Skeena River at Usk,BC08EF0001,54.63444,-128.4092
EnvCan,Dean River upstream of Lodge Creek,BC08FC0001,52.4676,-125.2936
EnvCan,Callaghan Creek at Highway 99,BC08GA0009,50.0598,-123.1018
EnvCan,Cheakamus River At Daisy Lake Forest Road,BC08GA0010,50.05803,-123.099
EnvCan,Cheakamus River on Cheakamus Lake Road,BC08GA0011,50.0815,-123.037
EnvCan,Madley Creek at Callaghan Forest Road Bridge,BC08GA0012,50.13,-123.13
EnvCan,Cheakamus River below Chance Creek,BC08GA0015,49.9468,-123.1672
EnvCan,Cheakamus River above Culliton Creek,BC08GA0016,49.9468,-123.1672
EnvCan,Cheakamus River at Squamish Outdoor School,BC08GA0017,49.8172,-123.1505
EnvCan,Cowichan River 1km downstream of Somenos Cr,BC08HA0018,48.7726,-123.6633
EnvCan,Koksilah River at Highway 1,BC08HA0026,48.7567,-123.6742
EnvCan,San Juan River at Island Road,BC08HA0027,48.5768,-124.3202
EnvCan,San Juan River at Red Creek Main,BC08HA0029,48.5766,-124.3117
EnvCan,Somass River at Paper Mill Dam,BC08HB0015,49.2961,-124.8731
EnvCan,Tsolum River,BC08HB0018,49.8128,-125.2028
EnvCan,Englishman River at Hwy 19,BC08HB0019,49.3011,-124.2756
EnvCan,Sandhill Creek at Highway 4,BC08HB0020,49.0265,-125.6474
EnvCan,Lost Shoe Creek at Highway 4,BC08HB0021,49.0078,-125.6148
EnvCan,Lost Shoe Creek at West Main Road,BC08HB0022,49.9996,-125.5736
EnvCan,Trestle Creek at West Main Road,BC08HB0023,49.0358,-125.5978
EnvCan,Staghorn Creek at West Main Road,BC08HB0024,49.0876,-125.6088
EnvCan,Quinasam River Near Mouth,BC08HD0004,50.0267,-125.2967
EnvCan,Quinsam River below Hatchery,BC08HD0018,50.0198,-125.2999
EnvCan,Quinsam River above Hatchery,BC08HD0019,50.0134,-125.3014
EnvCan,Quinsam River at Argonaut Bridge,BC08HD0020,49.9301,-125.51
EnvCan,Quinsam River below Middle Quinsam Lake,BC08HD0021,49.9356,-125.4625
EnvCan,Cold Creek above Quinsam River,BC08HD0022,50.0199,-125.301
EnvCan,Fraser at Hansard,BC08KA0001,54.07706,-121.8484
EnvCan,Fraser at Red Pass,BC08KA0007,52.9878,-119.0101
EnvCan,Fraser Hargreaves Bridge,BC08KA0071,53.02955,-119.23201
EnvCan,Fraser at Marguerite,BC08MC0001,52.52964,-122.44228
EnvCan,Fraser at Hope,BC08MF0001,49.38722,-121.4508
EnvCan,Callaghan Creek at Callaghan Lake,BC08MG0009,50.1918,-123.1844
EnvCan,Sumas River at International Boundary,BC08MH0027,49.0024,-122.2323
EnvCan,North Alouette River at 132nd Ave and Edge Street,BC08MH0269,49.2421,-122.5961
EnvCan,Fraser River (Main Arm) at Gravesend Reach - 1,BC08MH0366,49.1488,-123.0386
EnvCan,Fraser River (Main Arm) at Gravesend Reach - 2,BC08MH0367,49.1477,-123.0367
EnvCan,Fraser River (Main Arm) at Gravesend Reach - 3,BC08MH0368,49.1469,-123.0354
EnvCan,Fraser at Gravesend Reach03,BC08MH0368,49.14687,-123.0354
EnvCan,Fraser River (Main Arm) at Gravesend Reach - 4,BC08MH0369,49.146,-123.0341
EnvCan,Fraser at Gravesend Reach05,BC08MH0370,49.14512,-123.0325
EnvCan,Fraser River (Main Arm) at Gravesend Reach - 5,BC08MH0370,49.1451,-123.0325
EnvCan,Fishtrap Creek at International Boundary,BC08MH0418,49.0028,-122.4061
EnvCan,Bertrand Creek at International Boundary,BC08MH0419,49.0025,-122.5219
EnvCan,Pepin Creek at International Boundary,BC08MH0420,49.0033,-122.4706
EnvCan,Fraser Gravesend Bouy,BC08MH0453,49.14861,-123.03859
EnvCan,Fraser River (Main Arm) at Gravesend Reach - Buoy,BC08MH0453,49.1486,-123.0386
EnvCan,Columbia at Nicholson,BC08NA0048,51.24375,-116.91258
EnvCan,Beaver River at East Park Gate,BC08NB0190,51.38338,-117.45035
EnvCan,Columbia At Birchbank,BC08NE0005,49.17694,-117.7175
EnvCan,Similkameen River at Princeton,BC08NL0001,49.4586,-120.504
"Oliver et al., 2016",Below Iron Gate Reservoir,BIG,41.930744,-122.442408
"Oliver et al., 2016",Below JC Boyle Reservoir,BJCP,42.089481,-122.072161
"Oliver et al., 2016",Below Keno Reservoir,BKD,42.133789,-122.948864
"Oliver et al., 2016",Below Upper Klamath Lake,BLR,42.219303,-121.789717
CEDEN,Cedar Creek above Howland Hill Rd.,CEDEN-103CDCHHR,41.7889,-124.078
CEDEN,Delilah Creek at Sarina Road,CEDEN-103DE5776,41.9277,-124.165
CEDEN,Kelly Creek ~0.7mi above MF Smith River,CEDEN-103KLCMSR,41.8553,-123.852
CEDEN,Morrison Creek above Smith River,CEDEN-103MO0858,41.9038,-124.157
CEDEN,"Mill Creek, West Branch ~1mi below Porcupine Rd.",CEDEN-103PS0217,41.6871,-124.083
CEDEN,Rowdy Creek below Copper Cr.,CEDEN-103RDCBCC,41.9548,-124.062
CEDEN,Rowdy Creek above Smith River,CEDEN-103RW0129,41.9138,-124.167
CEDEN,Rowdy Creek at Alexander Access,CEDEN-103RW0319,41.9147,-124.163
CEDEN,Rowdy Creek at South Fred Haight Drive,CEDEN-103RW1599,41.9219,-124.146
CEDEN,Tillas Slough at Tide Gate,CEDEN-103TL1789,41.9331,-124.191
CEDEN,Tillas Slough at Westbrook Road,CEDEN-103TL2903,41.9321,-124.187
CEDEN,Smith River Above Myrtle Creek,CEDEN-103WE0817,41.8263,-124.114
CEDEN,Smith River ~1.6mi E Hardscrabble Creek,CEDEN-103WE1072,41.844,-124.002
CEDEN,Clarks Creek above Hwy 199,CEDEN-103WER029,41.8083,-124.112
CEDEN,Klamath River at Klamath Glen,CEDEN-105KL0330,41.516,-124
CEDEN,Tectah Creek ~8mi above Klamath R.,CEDEN-105PS0069,41.2952,-123.94
CEDEN,Godwood Creek ~0.2mi above Prarie Cr.,CEDEN-107GWCAPC,41.3679,-124.024
CEDEN,Little Lost Man Creek ~0.3mi above Hwy 101,CEDEN-107LLM101,41.327,-124.024
CEDEN,Redwood Creek ~0.2mi below Harry Weir Cr.,CEDEN-107RWCBHW,41.1966,-123.996
CEDEN,Fern Canyon Creek ~0.3mi above ocean bluffs,CEDEN-107WER092,41.4,-124.058
CEDEN,Tom Creek ~1mi above Hwy 101,CEDEN-108PS0197,41.176,-124.085
CEDEN,Little River ~0.3mi below Upper South Fork,CEDEN-108PS0290,41.0291,-124.004
CEDEN,Mad River above Warren Cr.,CEDEN-109PS0162,40.9052,-124.042
CEDEN,"Elk Creek, SF above Little South Fork",CEDEN-110ECSLSF,40.6732,-124.097
CEDEN,Elk River. NF ~1.2mi above McWhinney Cr.,CEDEN-110PS0114,40.6879,-124.051
CEDEN,Salmon Creek ~6.5mi above Tompkins Hill Rd.,CEDEN-110SMCATH,40.6385,-124.104
CEDEN,Little Freshwater Creek ~2mi above Freshwater Creek,CEDEN-110WE0838,40.7286,-124.06
CEDEN,Squaw Creek ~0.3mi above Bull Creek,CEDEN-111CE0569,40.3461,-123.993
CEDEN,Cow Creek above Bull Cr.,CEDEN-111PAL105,40.3498,-123.964
CEDEN,Salmon Creek ~1.2mi above Hwy 101,CEDEN-111PS0121,40.2258,-123.845
CEDEN,Lawrence Creek ~0.3mi above Yager Cr.,CEDEN-111PS0169,40.583,-123.989
CEDEN,Lawrence Creek ~0.7mi above Bell Cr.,CEDEN-111PS0178,40.6799,-123.951
CEDEN,Bull Creek ~0.3mi above Squaw Cr.,CEDEN-111PS0269,40.3506,-123.993
CEDEN,Salmon Creek above South Fork Eel,CEDEN-111SC0166,40.2357,-123.836
CEDEN,South Fork Eel River below Myers Flat,CEDEN-111SF0875,40.269,-123.876
CEDEN,South Fork Eel River below Miranda,CEDEN-111SF1569,40.2431,-123.831
CEDEN,South Fork Eel River below Phillipsville,CEDEN-111SF1944,40.2168,-123.791
CEDEN,South Fork Eel River below Redway,CEDEN-111SF2538,40.1478,-123.802
CEDEN,South Fork Eel River at Redway,CEDEN-111SF2765,40.1269,-123.831
CEDEN,Eel River Below Allen Creek,CEDEN-111WE0814,40.3904,-123.928
Aoliver,Eel River Estuary Near Mouth,E1,40.63361111,-124.3125
Aoliver,Eel River Estuary Near Cockrobin Bridge,E2,40.63638889,-124.2813889
KINGCOUNTY,Thornton Creek mouth,KINGCOUNTY-0434,47.69631,-122.2767
KINGCOUNTY,Cedar River at USGS gage,KINGCOUNTY-0438,47.48231,-122.2028
KINGCOUNTY,May Creek mouth,KINGCOUNTY-0440,47.52997,-122.2014
KINGCOUNTY,Juanita Creek mouth,KINGCOUNTY-0446,47.70536,-122.2167
KINGCOUNTY,Montlake Cut,KINGCOUNTY-0540,47.64731,-122.3053
KINGCOUNTY,Locks Station,KINGCOUNTY-0580,47.66456,-122.3886
KINGCOUNTY,Sammamish River,KINGCOUNTY-B472,47.74817,-122.2133
KINGCOUNTY,Shingle Mill Creek,KINGCOUNTY-VA12A,47.4783,-122.4817
KINGCOUNTY,Fisher Creek,KINGCOUNTY-VA41A,47.38399,-122.4814
KINGCOUNTY,Judd Creek,KINGCOUNTY-VA42A,47.40329,-122.4687
KINGCOUNTY,Mileta Creek,KINGCOUNTY-VA45A,47.38845,-122.4279
KINGCOUNTY,Cedar River mouth,KINGCOUNTY-X438,47.49531,-122.2136
Aoliver,MSE Dyerville,MS1,40.34833333,-123.9147222
Aoliver,MSE Fernbridge,MS3,40.61055556,-124.2022222
VIU Hydromet,Bella Coola Rv. At Bella Coola,NA,52.375704,-126.757653
VIU Hydromet,Cluxewe Rv,NA,50.605144,-127.170828
VIU Hydromet,Tlell Rv.,NA,53.581777,-131.943037
VIU Hydromet,"Yakoun, near QC",NA,53.379017,-132.276345
VIU Hydromet,Gregory Creek,NA,53.402948,-132.516342
VIU Hydromet,Bonanza Creek,NA,53.413342,-132.520789
"NARS_WQX",PRICE CREEK,"NARS_WQX-WCAP99-0600",40.52712,-124.17024
"NARS_WQX",REDWOOD CREEK,"NARS_WQX-WCAP99-0605",40.89154,-123.80843
"NARS_WQX",LAWRENCE CREEK,"NARS_WQX-WCAP99-0618",40.6568,-123.9803
"NARS_WQX",LITTLE FRESH WATER CREEK,"NARS_WQX-WCAP99-0838",40.72861,-124.06014
"NARS_WQX",SQUAW CREEK,"NARS_WQX-WCAP99-0844",40.31673,-123.99758
"NARS_WQX",LITTLE PINE CREEK,"NARS_WQX-WCAP99-1005",41.11777,-123.81514
"NARS_WQX",NORTH FORK MILL CREEK,"NARS_WQX-WCAP99-1051",40.93151,-124.07934
"NARS_WQX",TRIB TO VAN DUZEN,"NARS_WQX-WCAP99-1057",40.49014,-124.00231
"NARS_WQX",WEST FORK PECWAN CREEK,"NARS_WQX-WCAP99-1060",41.39686,-123.83009
"NARS_WQX",SHOLES CREEK,"NARS_WQX-WCAP99-1063",40.16947,-124.04001
"NARS_WQX",NORTH FORK YAGER CREEK,"NARS_WQX-WCAP99-1074",40.59509,-123.91843
"NARS_WQX",WEST FORK SPROUL CREEK,"NARS_WQX-WCAP99-1075",40.03758,-123.88138
"NARS_WQX",MAPLE CREEK,"NARS_WQX-WCAP99-1090",41.09051,-124.08467
"NARS_WQX",CORNER CREEK,"NARS_WQX-WCAP99-1106",40.61985,-124.03025
"NARS_WQX",MINK CREEK,"NARS_WQX-WORP99-0508",43.32611,-123.84609
"NARS_WQX",UPPER ROCK CREEK,"NARS_WQX-WORP99-0520",43.02091,-123.82502
"NARS_WQX",MCCLURE CREEK,"NARS_WQX-WORP99-0661",45.85907,-123.61917
"NARS_WQX",HARLISS CREEK,"NARS_WQX-WORP99-0739",45.69002,-123.71726
"NARS_WQX",WIND CREEK,"NARS_WQX-WORP99-0748",43.64969,-124.09439
"NARS_WQX",NIAGARA CREEK NEAR NESTUCCA RIVER,"NARS_WQX-WORP99-0813",45.20871,-123.64986
"NARS_WQX",WEST FORK SMITH RIVER,"NARS_WQX-WORP99-0825",43.85208,-123.71965
"NARS_WQX",NESTUCCA RIVER TRIBUTARY,"NARS_WQX-WORP99-0879",45.30062,-123.47625
"NARS_WQX",SIUSLAW RIVER,"NARS_WQX-WORP99-0885",43.87526,-123.50137
"NARS_WQX",WILLIAMS RIVER,"NARS_WQX-WORP99-0892",43.2619,-123.72523
"NARS_WQX",UPPER LAND CREEK,"NARS_WQX-WORP99-0952",42.82928,-124.04333
"NARS_WQX",ROUGH CREEK,"NARS_WQX-WORP99-1017",43.18245,-122.32812
"NARS_WQX",WILLAPA RIVER,"NARS_WQX-WWAP99-0515",46.57226,-123.61003
"NARS_WQX",QUINN CREEK,"NARS_WQX-WWAP99-0517",48.08744,-124.59939
"NARS_WQX",ROCKY BROOK,"NARS_WQX-WWAP99-0520",47.74267,-122.97348
"NARS_WQX",SISSON CREEK,"NARS_WQX-WWAP99-0521",46.3147,-123.73346
"NARS_WQX",TRIBUTARY TO DUCKABUSH RIVER,"NARS_WQX-WWAP99-0566",47.65133,-123.35231
"NARS_WQX",SKOOKUMCHUCK RIVER,"NARS_WQX-WWAP99-0602",46.71331,-122.48159
"NARS_WQX",SALMON RIVER,"NARS_WQX-WWAP99-0604",47.53383,-124.05941
"NARS_WQX",TRIB. SOUTH FORK TOUTLE RIVER,"NARS_WQX-WWAP99-0608",46.2615,-122.52147
"NARS_WQX",EAST FORK DICKEY RIVER,"NARS_WQX-WWAP99-0639",48.02538,-124.44327
"NARS_WQX",DANNY WALKER CREEK,"NARS_WQX-WWAP99-0689",47.27658,-123.45342
"NARS_WQX",OYSTER CREEK,"NARS_WQX-WWAP99-0692",48.6306,-122.4367
"NARS_WQX",MINERAL CREEK,"NARS_WQX-WWAP99-0714",46.72199,-122.15535
"NARS_WQX",TRIBUTARY TO SNAHAPISH RIVER,"NARS_WQX-WWAP99-0716",47.69004,-124.17229
"NARS_WQX",LITTLE NORTH RIVER,"NARS_WQX-WWAP99-0720",46.91606,-123.58942
"NARS",BOULDER CREEK,"NARS-ORSE04-R003",43.33,-122.5
"NARS",ANNIE CREEK_WOOD RIVER,"NARS-ORSE04-R015",42.76,-122.05
"NARS",SMITH RIVER,"NARS-OSM04461-0001",43.8,-123.79
"NARS",SMITH RIVER,"NARS-OSM04461-0002",43.8,-123.76
"NARS",SMITH RIVER,"NARS-OSM04461-0004",43.78,-123.81
"NARS",SMITH RIVER,"NARS-OSM04461-0005",43.78,-123.85
"NARS",SMITH RIVER,"NARS-OSM04461-0006",43.78,-123.88
"NARS",SMITH RIVER,"NARS-OSM04461-0007",43.78,-123.89
"NARS",SMITH RIVER,"NARS-OSM04461-0008",43.77,-123.96
"NARS",EEL RIVER,"NARS-WCAP99-0814",40.39,-123.92
"NARS",SMITH RIVER,"NARS-WCAP99-0817",41.82,-124.11
"NARS",SMITH RIVER,"NARS-WCAP99-1072",41.84,-124
"NARS",CORNER CREEK,"NARS-WCAP99-1106",40.61,-124.03
"NARS",COLDWATER CREEK,"NARS-WCAP99-R026",41.84,-124.03
"NARS",CLARKS CREEK,"NARS-WCAP99-R029",41.8,-124.11
"NARS",EIGHTEEN MILE CREEK,"NARS-WCAP99-R030",41.85,-123.91
"NARS",CANOE CREEK,"NARS-WCAP99-R077",40.29,-123.9
"NARS",HONEYDEW CREEK,"NARS-WCAP99-R078",40.2,-124.11
"NARS",REDWOOD CREEK,"NARS-WCAP99-R080",40.12,-123.84
"NARS",FERN CANYON,"NARS-WCAP99-R092",41.4,-124.06
"NARS",GRIZZLY CREEK,"NARS-WCAP99-R098",40.48,-123.9
"NARS",ROGUE RIVER,"NARS-WORP99-0502",42.42,-123.25
"NARS",UMPQUA RIVER,"NARS-WORP99-0670",43.65,-123.72
"NARS",ROGUE RIVER,"NARS-WORP99-0671",42.65,-124
"NARS",NIAGARA CREEK NEAR NESTUCCA RIVER,"NARS-WORP99-0813",45.2,-123.64
"NARS",ROGUE RIVER,"NARS-WORP99-0887",42.52,-124.16
"NARS",SIUSLAW RIVER,"NARS-WORP99-0950",43.98,-123.63
"NARS",EVANS CREEK,"NARS-WORP99-0957",42.69,-122.96
"NARS",TAHUYA RIVER,"NARS-WWAP04-R017",47.51,-122.88
"NARS",DUCKABUSH RIVER,"NARS-WWAP04-R021",47.68,-123.06
"NARS",TWIN CREEK,"NARS-WWAP04-R264",47.83,-123.99
"NARS",ROCKY BROOK,"NARS-WWAP99-0520",47.74,-122.97
